ux,uy,uz,Ts,CO2,H2O
 -0.016500, -2.824750, -1.131500,  9.114119, 16.910000,411.800000
 -0.402000, -2.745250, -0.988250,  9.080614, 16.910000,412.100000
 -0.184250, -2.908750, -0.616500,  9.090640, 16.910000,412.000000
  0.174250, -2.868250, -0.647500,  9.174482, 16.910000,411.300000
  0.188500, -2.769750, -0.546500,  9.209682, 16.910000,411.700000
  0.137500, -2.614750, -0.436750,  9.261663, 16.920000,411.600000
  0.443750, -2.751000, -0.342750,  9.147625, 16.910000,412.000000
  0.160000, -2.609000, -0.432000,  9.176120, 16.900000,412.600000
  0.194750, -2.727250, -0.398500,  9.144300, 16.900000,413.600000
  0.287750, -2.526250, -0.450250,  9.316978, 16.900000,413.600000
  0.353250, -2.528000, -0.490000,  9.288476, 16.900000,413.400000
  0.312750, -2.439500, -0.579000,  9.246570, 16.900000,413.400000
  0.138750, -2.326500, -0.683250,  9.112431, 16.910000,413.100000
  0.304500, -2.421750, -0.768750,  9.119132, 16.910000,412.200000
  0.267250, -2.392000, -0.748500,  9.145988, 16.910000,412.400000
  0.030000, -2.114500, -0.932500,  9.192901, 16.910000,411.700000
 -0.015000, -2.091250, -1.004000,  9.199602, 16.910000,412.400000
  0.269750, -2.089000, -1.158500,  9.306897, 16.910000,412.600000
  0.286500, -2.065000, -1.183250,  9.425983, 16.900000,412.500000
  0.162250, -2.131500, -1.236250,  9.229788, 16.890000,414.000000
  0.085250, -2.027750, -1.420750,  9.264990, 16.880000,416.400000
 -0.060000, -2.083000, -1.410250,  9.186198, 16.880000,416.300000
 -0.112750, -2.087250, -1.501250,  9.060462, 16.880000,415.200000
 -0.020250, -2.209250, -1.290500,  9.052125, 16.910000,412.200000
 -0.251750, -2.230750, -1.365500,  9.082252, 16.920000,411.400000
  0.060750, -2.421250, -1.216500,  9.063837, 16.920000,411.700000
 -0.038750, -2.638500, -1.144750,  9.048749, 16.920000,410.800000
  0.213000, -2.099250, -1.273500,  9.048749, 16.920000,411.400000
  0.013250, -2.281500, -0.548500,  9.013560, 16.920000,411.300000
  0.314250, -2.305000, -0.441750,  9.085628, 16.910000,410.700000
  0.458250, -2.274500, -0.475500,  9.112431, 16.910000,411.200000
  0.426250, -2.074500, -0.541000,  9.099029, 16.910000,411.700000
  0.398750, -2.460000, -0.711000,  9.117495, 16.910000,411.600000
  0.173750, -2.222000, -0.909500,  9.020261, 16.910000,412.000000
  0.146000, -2.226000, -0.922000,  8.956589, 16.910000,411.100000
  0.454250, -2.044750, -1.071750,  8.995098, 16.910000,411.600000
 -0.180750, -1.920000, -0.876000,  9.021948, 16.910000,411.400000
 -0.035500, -1.922000, -1.220750,  8.923043, 16.920000,410.500000
 -0.531000, -1.861000, -1.194250,  9.026960, 16.920000,410.100000
 -0.467500, -2.087750, -1.503500,  9.000161, 16.930000,409.800000
 -0.392750, -2.308250, -1.433750,  9.068851, 16.920000,410.700000
 -0.246000, -2.478750, -1.064500,  9.112431, 16.920000,410.000000
  0.326500, -2.789750, -1.182250,  9.068851, 16.920000,409.900000
  0.562250, -3.035500, -1.530000,  9.028648, 16.910000,411.000000
  0.554250, -2.982000, -1.257000,  9.021948, 16.910000,411.400000
  0.609250, -3.171500, -1.611750,  8.948202, 16.910000,411.000000
  0.311500, -3.006000, -1.572000,  9.001849, 16.920000,410.900000
 -0.226250, -3.074750, -1.281750,  8.948202, 16.930000,409.700000
  0.243000, -2.972250, -1.457500,  8.908010, 16.920000,410.200000
 -0.145750, -2.467000, -1.247500,  8.874466, 16.930000,409.400000
 -0.253500, -2.840250, -1.354000,  8.879528, 16.940000,408.500000
 -0.027750, -2.715500, -1.344000,  8.886227, 16.940000,407.000000
 -0.437750, -2.982250, -1.385250,  8.742153, 16.950000,405.200000
 -0.497000, -2.955000, -1.343250,  8.768940, 16.940000,404.100000
 -0.356750, -2.858500, -1.358750,  8.784021, 16.950000,404.900000
 -0.377500, -2.897000, -1.309250,  8.738779, 16.950000,405.200000
 -0.297750, -2.964000, -1.348000,  8.817509, 16.940000,405.800000
 -0.409500, -3.046750, -1.283500,  8.763930, 16.940000,405.300000
 -0.577500, -2.837250, -1.334500,  8.790719, 16.940000,404.900000
 -0.615000, -2.852000, -1.344250,  8.727073, 16.950000,404.700000
 -0.594500, -2.792000, -1.558500,  8.844299, 16.950000,404.300000
 -0.595500, -2.737000, -1.464000,  8.837602, 16.940000,404.400000
 -0.774750, -2.941750, -1.413000,  8.815821, 16.940000,406.700000
 -0.329250, -2.862750, -1.508500,  8.780647, 16.940000,406.800000
 -0.461500, -2.926750, -1.575750,  8.839289, 16.940000,406.300000
 -0.818250, -2.939000, -1.453250,  8.904634, 16.940000,406.800000
